"HEALTH","sample","fpl","SWB_1","SWB_2","SWB_3","FWBscore","FWB1_1","FWB1_2","FWB1_4","FWB1_5","FWB1_6","FWB2_2","FWB2_3","FWB2_4","FSscore","FS1_2","FS1_3"
"1",2,3,5,6,5,76,5,5,4,2,2,5,1,2,57,4,3
"1",3,3,6,7,7,63,3,3,4,2,3,5,2,2,46,3,3
"1",1,3,4,4,4,49,4,3,3,4,3,3,2,1,65,3,5
"1",1,1,3,4,3,44,4,4,3,4,4,3,2,4,47,3,4
"1",1,3,3,3,5,35,1,3,2,4,4,5,5,4,42,2,2
"1",3,3,6,6,6,49,2,3,3,4,3,2,3,3,49,3,4
"1",3,3,3,7,7,33,2,3,2,5,5,3,3,5,47,4,4
"1",1,1,5,6,5,45,1,1,3,5,5,2,3,3,49,1,1
"1",1,2,6,7,6,61,3,3,4,2,3,4,1,4,63,2,3
"1",1,2,6,7,7,62,4,4,4,2,3,4,2,2,47,3,3
"1",3,3,4,7,6,64,3,2,3,2,1,4,2,2,37,2,1
"1",1,3,3,6,5,47,1,4,3,3,2,2,4,3,45,3,3
"1",1,3,6,6,7,65,3,3,4,2,2,4,1,1,37,3,2
"1",1,2,4,4,4,56,4,3,3,3,3,2,1,2,45,2,3
"1",1,3,7,2,4,58,4,4,4,3,2,5,3,4,51,5,2
"1",1,3,7,7,7,86,5,5,5,1,1,5,1,1,61,4,4
"1",1,3,6,6,6,71,4,4,4,1,1,3,1,2,60,4,4
"1",1,3,6,6,6,65,4,4,4,2,3,4,2,2,55,3,3
"1",2,3,6,6,6,75,4,4,4,1,2,4,1,2,59,5,4
"1",1,3,7,7,5,70,5,5,5,1,2,5,1,2,56,4,4
"1",1,3,7,7,7,66,3,4,3,2,3,4,2,2,49,5,3
"1",1,3,5,6,6,74,4,4,5,1,2,5,1,1,73,4,5
"1",1,3,6,5,5,52,2,3,3,3,2,4,2,3,54,4,4
"1",1,3,7,7,7,53,2,3,3,3,3,3,2,3,42,3,2
"1",2,3,4,4,3,39,1,1,2,5,5,2,2,3,40,2,3
"1",1,3,5,5,5,46,2,2,2,5,3,3,1,5,54,4,4
"1",1,3,5,4,4,59,3,3,4,2,4,4,1,3,50,4,3
"1",2,3,7,7,7,59,3,3,4,2,3,4,2,3,53,4,4
"1",2,3,6,6,4,84,5,4,5,1,2,5,1,1,56,4,4
"1",2,3,7,4,6,65,4,2,4,1,3,4,1,3,48,3,3
"1",1,3,5,5,6,68,5,4,4,1,3,4,1,2,48,3,3
"1",2,3,6,6,7,69,5,4,5,1,3,5,1,3,65,5,4
"1",1,3,5,6,6,53,3,4,4,3,3,4,3,2,51,4,4
"1",2,3,7,7,7,55,3,5,4,5,4,5,2,3,79,5,5
"1",1,3,6,6,4,54,3,3,4,4,2,4,2,3,51,4,3
"1",1,3,6,6,6,52,3,4,4,4,4,3,2,2,57,4,4
"1",1,3,6,6,6,61,4,4,4,2,2,4,2,2,53,5,3
"1",1,3,6,6,6,79,4,4,5,1,2,5,1,1,85,5,5
"1",1,3,6,1,7,61,3,3,4,2,2,4,1,3,56,4,4
"1",1,3,5,5,5,57,3,3,3,2,3,4,2,3,43,3,3
"1",1,3,5,6,6,58,4,4,2,3,3,4,2,2,63,4,4
"1",2,3,7,5,4,66,4,4,4,3,4,5,1,2,54,5,3
"1",2,3,5,5,5,49,3,3,3,3,4,2,2,3,46,4,3
"1",1,1,4,4,5,35,5,2,2,5,5,2,3,4,37,3,3
"1",1,3,6,3,5,35,2,1,2,5,3,2,3,4,45,4,3
"1",1,3,7,7,6,74,5,5,5,1,3,5,1,2,64,4,4
"1",1,3,3,5,2,30,1,2,3,5,4,1,5,5,43,3,2
"1",1,3,4,5,5,47,2,3,3,3,4,3,2,4,42,2,2
"1",1,3,6,5,5,79,5,5,5,1,3,5,1,2,82,5,5
"1",2,2,7,4,4,69,3,2,3,3,2,3,1,1,47,4,3
"1",3,3,6,3,5,51,3,3,3,3,2,3,3,4,82,5,5
"1",1,3,7,7,7,53,3,3,3,3,3,3,2,3,38,2,2
"1",1,3,3,7,7,29,1,2,1,5,5,1,4,4,56,3,4
"1",1,3,6,5,4,61,3,3,3,2,3,4,1,2,42,3,3
"1",1,3,6,6,6,62,1,4,3,3,3,3,1,2,71,5,4
